ID;Name;global_id;OnTerritoryOfMoscow;AdmArea;District;Address;Longitude_WGS84;Latitude_WGS84;ContactPhone;GraveType;ObjectArea;ObjectStatus;geoData
37;Домодедовское кладбище;1712637;нет;;;"Московская область, г. Домодедово, вблизи д. Истомиха, территория ""Домодедовское кладбище""";37.893709;55.453808;(495) 223-56-82;урной в землю, гробом в землю;176.5;закрытое;{type=Point, coordinates=[37.893709, 55.453808]}
39;Жохово кладбище;1712638;да;Троицкий административный округ;поселение Кленовское;деревня Жохово;37.38099;55.27651;(495) 232-40-21;гробом в землю;0.5;закрытое;{type=Point, coordinates=[37.38099, 55.27651]}
40;Захарьинское кладбище;1712639;да;Юго-Западный административный округ;район Южное Бутово;улица Николая Сироткина;37.596171;55.495827;(495) 717-69-18;урной в землю, гробом в землю;12.1;открытое;{type=Point, coordinates=[37.596171, 55.495827]}
42;Зеленоградское (Северное) кладбище;1712640;да;Зеленоградский административный округ;район Савёлки;Зеленоград, Проезд N 710, дом 19 стр. 1, 3, 4;37.215880;55.952753;(499) 735-85-33;урной в открытый колумбарий, урной в землю, гробом в землю;14.7;закрытое;{type=Point, coordinates=[37.21588, 55.952753]}
43;Зосимова пустынь кладбище;1712641;да;Троицкий административный округ;поселение Новофедоровское;поселок Зосимова пустынь;36.909239;55.408224;(495) 952-47-37;гробом в землю;1;закрытое;{type=Point, coordinates=[36.909239, 55.408224]}
44;Ивановское кладбище;1712642;да;Восточный административный округ;район Ивановское;улица Сталеваров, владение 6, стр. 1,2,3,4,5,6;37.838953;55.768869;(495) 791-05-39;гробом в землю;1.9;закрытое;{type=Point, coordinates=[37.838953, 55.768869]}
46;Изваринское кладбище;1712644;да;Новомосковский административный округ;поселение Внуковское;деревня Изварино;37.263326;55.626140;(495) 448-67-88;гробом в землю;1.38;закрытое;{type=Point, coordinates=[37.263326, 55.62614]}
47;Ознобишино кладбище;1712645;да;Троицкий административный округ;поселение Щаповское;вблизи с. Ознобишино;37.441303;55.401341;(495) 232-40-21;гробом в землю;1.7;закрытое;{type=Point, coordinates=[37.441303, 55.401341]}
48;Исаково кладбище;1712646;да;Троицкий административный округ;поселение Михайлово-Ярцевское;д. Исаково;37.180299;55.400007;(495) 232-40-21;гробом в землю;4.8;закрытое;{type=Point, coordinates=[37.180299, 55.400007]}
49;Калитниковское кладбище;1712647;да;Центральный административный округ;Таганский район;Большой Калитниковский проезд, вл. 11;37.688346;55.733101;(495) 670-50-09;урной в открытый колумбарий, урной в землю, гробом в землю;16.7;закрытое;{type=Point, coordinates=[37.688346, 55.733101]}
50;Капотненское кладбище;1712648;да;Юго-Восточный административный округ;район Капотня;1-й квартал Капотня, 1-й Капотнинский проезд;37.791112;55.639315;(495) 355-30-29;гробом в землю;2.5;закрытое;{type=Point, coordinates=[37.791112, 55.639315]}
51;Качаловское кладбище;1712649;да;Юго-Западный административный округ;район Северное Бутово;Старокачаловская улица, владение 8;37.580170;55.571173;(916) 929-89-74;урной в землю, гробом в землю;1;закрытое;{type=Point, coordinates=[37.58017, 55.571173]}
53;Клоково кладбище;1712650;да;Троицкий административный округ;поселение Первомайское;деревня Клоково;37.26140;55.52169;(495) 952-47-37;гробом в землю;0.2;закрытое;{type=Point, coordinates=[37.2614, 55.52169]}
54;Котляковское кладбище;1712651;да;Южный административный округ;район Царицыно;улица Деловая, вл. 21;37.636210;55.620471;(495) 325-23-10;урной в землю, гробом в землю;38.7;закрытое;{type=Point, coordinates=[37.63621, 55.620471]}
55;Красное кладбище;1712652;да;Троицкий административный округ;поселение Краснопахорское;село Красное;37.292286;55.423774;(495) 232-40-21;гробом в землю;1.4;закрытое;{type=Point, coordinates=[37.292286, 55.423774]}
56;Кувекинское кладбище;1712653;да;Новомосковский административный округ;поселение Десеновское;деревня Кувекино;37.435135;55.493202;(495) 448-67-88;гробом в землю;1.2;закрытое;{type=Point, coordinates=[37.435135, 55.493202]}
57;Кузнецово кладбище;1712654;да;Троицкий административный округ;поселение Новофедоровское;деревня Кузнецово;36.945886;55.459938;(495) 952-47-37;гробом в землю;1.1;закрытое;{type=Point, coordinates=[36.945886, 55.459938]}
58;Кузьминское кладбище;1712655;да;Юго-Восточный административный округ;район Выхино-Жулебино;улица Академика Скрябина, вл. 19;37.799055;55.705256;(495) 378-60-82;урной в открытый колумбарий, урной в землю, урной в саркофаг, гробом в землю;42.9;закрытое;{type=Point, coordinates=[37.799055, 55.705256]}
59;Кузьминское (мусульманское) кладбище;1712656;да;Юго-Восточный административный округ;район Выхино-Жулебино;улица Академика Скрябина, вл. 19;37.806136;55.702787;(495) 378-60-82;урной в открытый колумбарий, урной в землю, урной в саркофаг, гробом в землю;2.4;закрытое;{type=Point, coordinates=[37.806136, 55.702787]}
60;Рублевское кладбище;1712657;да;Западный административный округ;район Кунцево;поселок Рублево;37.350034;55.774616;(495) 440-69-84;гробом в землю;3.4;закрытое;{type=Point, coordinates=[37.350034, 55.774616]}
61;Леоновское кладбище;1712658;да;Северо-Восточный административный округ;район Ростокино;1-я улица Леонова, вл. 8;37.645017;55.844036;(499) 188-42-46;урной в землю, гробом в землю;2.6;закрытое;{type=Point, coordinates=[37.645017, 55.844036]}
62;Летовское кладбище;1712659;да;Новомосковский административный округ;поселение Сосенское;д. Летово;37.406477;55.562548;(495) 448-67-88;гробом в землю;0.51;закрытое;{type=Point, coordinates=[37.406477, 55.562548]}
63;Лианозовское кладбище;1712660;нет;;;Московская область, Мытищинский район, юго-западная часть городского поселения Мытищи, 83-й км МКАД;37.561797;55.911693;(499) 188-42-46;урной в землю, гробом в землю;79.2;закрытое;{type=Point, coordinates=[37.561797, 55.911693]}
64;Лукошкино кладбище;1712661;да;Троицкий административный округ;поселение Кленовское;деревня Лукошкино;37.271186;55.330646;(495) 232-40-21;гробом в землю;1.4;закрытое;{type=Point, coordinates=[37.271186, 55.330646]}
1;Алабушевское кладбище;1712662;да;Зеленоградский административный округ;район Савёлки;г. Зеленоград, промзона «Алабушево»;37.140800;56.012556;(499) 735-85-33;гробом в землю;34;открытое;{type=Point, coordinates=[37.1408, 56.012556]}
2;Алексеевское кладбище;1712663;да;Северо-Восточный административный округ;Алексеевский район;Проспект Мира, владение 132;37.643389;55.818256;(495) 602-21-39;урной в землю, гробом в землю;2.3;закрытое;{type=Point, coordinates=[37.643389, 55.818256]}
3;Алтуфьевское кладбище;1712664;да;Северо-Восточный административный округ;район Бибирево;85-й км МКАД;37.594309;55.907706;(495) 977-80-90;урной в землю, гробом в землю;1.4;закрытое;{type=Point, coordinates=[37.594309, 55.907706]}
4;Анкудиново кладбище;1712665;да;Новомосковский административный округ;поселение Марушкинское;деревня Анкудиново;37.146053;55.568270;(495) 952-47-37;гробом в землю;10.9;закрытое;{type=Point, coordinates=[37.146053, 55.56827]}
5;Бабушкинское кладбище;1712666;да;Северо-Восточный административный округ;Ярославский район;Ярославское шоссе, владение 52;37.704604;55.863275;(499) 188-42-46;урной в землю, гробом в землю;11.1;закрытое;{type=Point, coordinates=[37.704604, 55.863275]}
6;Белоусово кладбище;1712667;да;Троицкий административный округ;поселение Новофедоровское;деревня Белоусово;37.015686;55.411069;(495) 952-47-37;гробом в землю;0.5;закрытое;{type=Point, coordinates=[37.015686, 55.411069]}
