"Широта","Долгота","Описание","Подпись","Номер метки"
56.358637,43.788009,"Кладбище; </br>
ул. Коновалова, 26Г/1, Нижний Новгород, Россия","Ново-Сормовское",
56.288785,43.826112,"Кладбище; </br>
Россия, Нижний Новгород, Сортировочное кладбище","Сортировочное кладбище",
56.299681,43.991827,"Кладбище; </br>
ул. Пушкина, 34, Нижний Новгород, Россия","Бугровское кладбище",
56.317385,44.062339,"Кладбище; </br>
Россия, Нижний Новгород, Нижегородский район","Памятный крест на месте приходского кладбища Старопечёрской церкви",
56.219724,43.813871,"Кладбище; </br>
Россия, Нижний Новгород, Старо-Автозаводское кладбище","Старо-Автозаводское кладбище",
56.288047,43.884312,"Кладбище; </br>
Удмуртская ул., 2В, Нижний Новгород, Россия","Красная Этна",
56.308622,44.047323,"Кладбище; </br>
Нижний Новгород, ул. Овражная","Кладбище",
56.384306,43.790202,"Кладбище; </br>
Ясная ул., 8А, Нижний Новгород, Россия","Копосово-Высокого",
56.270972,44.054009,"Кладбище; </br>
Россия, Нижний Новгород, Новопокровское кладбище","Новопокровское кладбище",
56.348634,43.831213,"Кладбище; </br>
Россия, Нижний Новгород, Старо-Сормовское кладбище","Старо-Сормовское кладбище",
56.281293,44.034018,"Кладбище; </br>
Россия, Нижний Новгород, Кузнечихинское кладбище","Кузнечихинское кладбище",
