Address,Title
"Нижний Новгород, ул.Дьяконова, 6а, к1",Детский сад №2
"Нижний Новгород, ул.Строкина, 18б",Детский сад №3
"Нижний Новгород, пр.Гагарина, 162",Детский сад №3
"Нижний Новгород, ул.Комсомольская, 54",Детский сад №4
"Нижний Новгород, ул.Родионова, 199, корп.1",Детский сад №5
"Нижний Новгород, ул.Вольская, 1, корп.3",Детский сад №6
"Нижний Новгород, мкрн.Щербинки-1, 2а",Детский сад №6
"Нижний Новгород, ул.Автомеханическая, 28а",Детский сад №7
"Нижний Новгород, ул.Движенцев, 9а",Детский сад №7
"Нижний Новгород, ул.Ковалихинская, 49а",Детский сад №7
"Нижний Новгород, ул.Белинского, 35а","Детский сад №7, подразделение школы №18"
"Нижний Новгород, ул.Чкалова, 11в",Детский сад №8
"Нижний Новгород, ул.Минина, 3в",Детский сад №9
"Нижний Новгород, ул.Пермякова, 4б",Детский сад №11
"Нижний Новгород, ул.Литературная, 26а",Детский сад №11
"Нижний Новгород, ул.Иванова, 21а",Детский сад №11
"Нижний Новгород, ул.Иванова, 15а",Детский сад №11 (бывший детский сад №266)
"Нижний Новгород, Южное ш., 50б",Детский сад №12
"Нижний Новгород, ул.Дьяконова, 5а",Детский сад №14
"Нижний Новгород, ул.Октябрьской революции, 25",Детский сад №14
"Нижний Новгород, ул.Октября, 21а",Детский сад №15
"Нижний Новгород, ул.Выборгская, 16а",Детский сад №16
"Нижний Новгород, ул.Мончегорская, 16а, корп.4",Детский сад №17
"Нижний Новгород, ул.Гайдара, 22",Детский сад №18
"Нижний Новгород, ул.Акимова, 44а",Детский сад №18
"Нижний Новгород, ул.Шорина, 18а",Детский сад №18
"Нижний Новгород, ул.М.Ямская, 9а",Детский сад №19
"Нижний Новгород, ул.Володарского, 63",Детский сад №20
"Нижний Новгород, ул.Ковалихинская, 35а",Детский сад №20 (бывший детский сад №329)
Нижний Новгород,Детский сад №21
"Нижний Новгород, пр.Молодежный, 34",Детский сад №22
"Нижний Новгород, ул.Гороховецкая, 4а",Детский сад №23
"Нижний Новгород, ул.Ульянова, 35",Детский сад №23
"Нижний Новгород, ул.Пермякова, 50",Детский сад №24
"Нижний Новгород, пер.Звенигородский, 5",Детский сад №24
"Нижний Новгород, ул.Политбойцов, 3",Детский сад №25
"Нижний Новгород, ул.Львовская, 27",Детский сад №26
"Нижний Новгород, Московское ш., 250а","Детский сад №27, здание №1"
"Нижний Новгород, Московское ш., 262а","Детский сад №27, здание №2 (бывший детский сад №204)"
