"Широта","Долгота","Описание","Подпись","Номер метки"
56.262644,43.875489,"Парк культуры и отдыха; </br>
Россия, Нижний Новгород, парк имени 777-летия Нижнего Новгорода","Парк имени 777-летия Нижнего Новгорода",
56.276007,44.013395,"Парк культуры и отдыха; </br>
Россия, Нижний Новгород, лесопарк Щёлоковский Хутор","Щёлоковский Хутор",
56.315192,44.008247,"Парк культуры и отдыха; </br>
Россия, Нижний Новгород, парк имени Кулибина","Парк имени Кулибина",
56.33903,43.857083,"Лесопарк, заповедник; </br>
Россия, Нижний Новгород, Сормовский парк культуры и отдыха","Сормовский парк",
56.330415,44.014521,"Парк культуры и отдыха; </br>
Россия, Нижний Новгород, Георгиевский съезд","Александровский сад",
56.239918,43.859069,"Парк культуры и отдыха; </br>
Россия, Нижний Новгород, Центральный парк культуры и отдыха Автозаводского района","Автозаводский парк",
56.358805,43.825376,"Парк культуры и отдыха; </br>
Россия, Нижний Новгород, озеро Светлоярское","Парк Светлоярский",
56.268095,43.920206,"Парк культуры и отдыха; </br>
ул. Адмирала Нахимова, 3А, Нижний Новгород, Россия","Дубки",
56.326361,44.012947,"Парк культуры и отдыха; </br>
Россия, Нижний Новгород, детский парк имени Свердлова","Детский парк имени Я.М. Свердлова",
56.31298,43.935071,"Парк культуры и отдыха; </br>
ул. Октябрьской Революции, 31, Нижний Новгород, Россия","Парк культуры и отдыха имени 1 Мая",
56.329627,44.05507,"Парк культуры и отдыха; </br>
наб. Гребного Канала, 109, Нижний Новгород, Россия","Лето",
56.246274,43.871099,"Парк культуры и отдыха; </br>
Россия, Нижний Новгород, парк Славы","парк Славы",
56.33006,44.004031,"Парк культуры и отдыха; </br>
Россия, Нижний Новгород, Губернаторский сад","Губернаторский сад",
56.270356,43.950084,"Парк культуры и отдыха; </br>
60Б, Нижний Новгород, СНТ № 1 ОАО Зефс, Россия","Дом 60 Б",
