Address,Title
"ул. Бурнаковская, д. 103а",Поликлиника ПОМЦ «Бурнаковская»
"ул. Решетниковская, д. 2",Областной клинический диагностический центр
"ул. Тропинина, д. 41А",Поликлиника №4 ПОМЦ
"ул. Маршала Воронова, д. 20А",Поликлиника №3 ПОМЦ
"Верхневолжская наб., д. 21",Поликлиника больницы №3
"ул. Нестерова, д. 34",Поликлиника больницы №5
"ул. Приокская, д. 14",Поликлиника больницы №4
"пер. Портовый, д. 8",Городская поликлиника №51 на Портовом
"ул. Родионова, д. 190",Областная консультативная поликлиника
"Окский съезд, д. 2А",Поликлиника №5 ПОМЦ
"ул. Гнилицкая, д. 105",Поликлиника больницы №40 на Гнилицкой
"ул. Ильинская, д. 78",Поликлиника больницы №38
"ул. Таллиннская, д. 8В",Поликлиника дорожной больницы на Таллиннской
"Московское шоссе, д. 85",Поликлиника больницы №39 на Московском 85
"Нижневолжская наб., д. 2",Поликлиника №1 ПОМЦ
"ул. Нестерова, д. 34А",Городская поликлиника №21
"пр. Ленина, д. 54",Поликлиника больницы №33
"ул. Минина, 20, корп. Е",Областной центр профилактики СПИД
"ул. Героя Юрия Смирнова, д. 71",Поликлиника больницы №40 на Смирнова
"ул. Шаляпина, д. 1",Поликлиника больницы №30
"пр. Кирова, д. 10А",Поликлиника больницы №37 на Кирова
"ул. Шлиссельбургская, д. 24",Поликлиника дорожной больницы на Шлиссельбургской
"ул. Дьяконова, д. 11б",Городская поликлиника №24
"ул. Тургенева, д. 26",Городская поликлиника №2
"ул. Есенина, д. 27",Городская поликлиника №51 на Есенина
"пл. Маршала Жукова, д. 5",Городская поликлиника №1
"ул. Светлоярская, д. 38А",Поликлиника №4 больницы №12 на Светлоярской
"ул. Страж революции, д. 35",Городская поликлиника №17
"ул. Артельная, д. 2",Поликлиника Таможенной службы
"ул. Чаадаева, д. 7",Поликлиника №1 больницы №28
"ул. Ашхабадская, д. 8",Городская поликлиника №31 на Ашхабадской
"ул. Горная, д. 15",Городская поликлиника №50
"ул. Васенко, д. 11",Поликлиника №1 больницы №12
"ул. Бекетова, д. 8А",Поликлиника больницы №34
"ул. Верхнепечерская, д. 6",Городская поликлиника №7
"ул. Свободы, д. 3",Поликлиника №2 больницы №12
"пр. Ленина, д. 100",Поликлиника больницы №37 на Ленина
"ул. Заярская, д. 4",Городская поликлиника №35 на Заярской
"ул. Гаугеля, д. 6А",Поликлиника №4 больницы №12 на Гаугеля
"ул. Солнечная, д. 14",Поликлиника больницы №10
"ул. Циолковского, д. 9",Поликлиника №3 больницы №12
"Московское шоссе, д. 290",Поликлиника больницы №39 на Московском 290
"пр. Ленина, д. 16А",Поликлиника №1 больницы №7
"ул. Снежная, д. 80",Поликлиника больницы 47 на Снежной 80
"ул. Архитектурная, д. 2А",Поликлиника №2 больницы №7
"ул. Васюнина, д. 2А",Городская поликлиника №30
"ул. Ванеева, д. 23",Городская поликлиника №31 на Ванеева
"ул. Бекетова, д. 39",Городская поликлиника №35 на Бекетова
"ул. Снежная, д. 15",Поликлиника больницы 47 на Снежной 15
"Московское шоссе, д. 292",Поликлиника больницы №39 на Московском 292
"Московское шоссе, д. 81",Поликлиника больницы №39 на Московском 81
"ул. Электровозная, д. 1",Поликлиника больницы №39 на Электровозной
