Address,Title
"Нижний Новгород, пл.Минина и Пожарского, 5",Гимназия №1
"Нижний Новгород, ул.Мануфактурная, 16а",Гимназия №2
"Нижний Новгород, б-р Мира, 4",Гимназия №2 (бывшая школа №143)
"Нижний Новгород, ул.Елецкая, 10а",Коррекционная школа-интернат №1
"Нижний Новгород, Московское ш., 79",Школа №2 интернат
"Нижний Новгород, ул.Маслякова, 1",Школа №3
"Нижний Новгород, ул.Машинная, 37",Школа-интернат №4
"Нижний Новгород, ул.Мельникова, 31",Школа №5
"Нижний Новгород, ул.Маслякова, 3",Школа-интернат №5 санаторная
"Нижний Новгород, ул.Челюскинцев, 24",Школа №6
"Нижний Новгород, ул.Верхнепечерская, 4а",Школа №7
"Нижний Новгород, ул.Пискунова, 35",Лицей №8
"Нижний Новгород, ул.Голубева, 8а",Школа №8 интернат
"Нижний Новгород, ул.Пугачева, 12",Школа №9
"Нижний Новгород, ул.Школьная, 10",Школа №10 интернат
"Нижний Новгород, ул.Терешковой, 4а",Школа №11
"Нижний Новгород, Южное ш., 33",Школа №12 им.Е.П.Шнитникова
"Нижний Новгород, ул.Б.Печерская, 63в",Гимназия №13
"Нижний Новгород, пер.Холодный, 15а",Школа №14
"Нижний Новгород, ул.Автомеханическая, 12",Школа №15
"Нижний Новгород, пос.Гнилицы, ул.Ляхова, 109",Школа №16
"Нижний Новгород, ул.Жукова, 18",Гимназия №17
"Нижний Новгород, ул.Невзоровых, 36","Школа №18, с подразделением Детский сад №7"
"Нижний Новгород, ул.Славянская, 35",Школа №19
"Нижний Новгород, Южное ш., 24г",Школа №20
"Нижний Новгород, ул.Шаляпина 23",Школа №21
"Нижний Новгород, ул.Верхнепечерская, 5а",Школа №22
"Нижний Новгород, ул.Ивлиева, 32, корп.4",Школа №24
"Нижний Новгород, ул.Кулибина, 6",Гимназия №25 им.А.С.Пушкина
"Нижний Новгород, ул.Станиславского, 16",Школа №26
"Нижний Новгород, пр.Бусыгина, 39",Школа №27
"Нижний Новгород, ул.Гаугеля 15",Школа №27
"Нижний Новгород, пр.Гагарина, 8",Лицей №28 им.Б.А.Королева
"Нижний Новгород, ул.Партизанская, 8а",Школа №28 вечерняя
