district,name,abbreviated_name,address,chief,phone,yasli,fax,email,mo,inn,ogrn,note
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 1 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 1 Адмиралтейского района СПб,"Санкт-Петербург,  ул. Канонерская д.6-8-10, лит. А",Синченко Ольга Владимировна,+7(812)7146965,+,+7(812)7146965,Spb-1ds@yandex.ru,Коломна,7826127363,1027810293961,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 4 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад №4 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, ул. Курляндская, д.41, лит. А",Односталко Елена Анатольевна, +7(812)5753638         ,+,  +7(812)2514867 ,dou4@adm-edu.spb.ru,Екатерингофский,7826138799,1027810314311,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение Детский сад № 5 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад №5 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, ул. Гражданская, д.21, лит. А , пом 1-н",Чиркова Галина  Николаевна,+7(812)3143240,-,+7(812)3143240, dou5@adm-edu.spb.ru,Сенной округ,7826719867,1027810318634,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 6 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 6 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, Союза Печатников ул., д. 3, литер А",Ковригина Анна Анатольевна,7(812)7144497,+,7(812)7144497,dou6@adm-edu.spb.ru,Коломна,7826718408,1027810309977,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад общеразвивающего вида № 8 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 8 Адмиралтейкого района СПб,"Санкт-Петербург, ул. Почтамтская, д.13, лит. А",Смольникова Светлана Геннадьевна,+7(812)5719539,+,+7(812)5719539,5719539@mail.ru,Адмиралтейский округ,7826718045,1027810000000,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 11 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 11 Адмиралтейского района СПб,"Санкт-Петербург, ул. Садовая, д.60, лит.А, пом. 4-Н ",Граф Наталья Рихардовна,+7(812)3109600,+,+7(812)7142219,dou11@adm-edu.spb.ru,Сенной округ,7826719218,1027810310197,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад общеразвивающего вида № 12 с приоритетным осуществлением  деятельности по художественно-эстетическому развитию детей Адмиралтейского района  Санкт-Петербурга,ГБДОУ детский сад  № 12 Адмиралтейского района  Санкт-Петербурга,"Санкт-Петербург, улица Большая Подьяческая, д. 8, литера А, пом. 23-Н",Лукина Ирина Сергеевна , +7(812)3125273 ,-, +7(812)3125273 ,gbdou-12Ar@yandex.ru,Адмиралтейский округ,7826718373,1027810309944,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад  № 15 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад  № 15 Адмиралтейского района  СПб,"Санкт-Петербург, Почтамтская улица, дом 19-21, литера А",Слезина  Людмила Петровна,+7(812)3121017,+,+7(812)3121018,dou15@adm-edu.spb.ru, Адмиралтейский округ,7826718077,1027810000000,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад комбинированного вида № 16 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 16 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, набережная канала Грибоедова, дом 74",Демченко Наталья  Ивановна,+7(812)3142454,-,+7(812)3142454,admiral-gdou16@mail.ru ,Сенной округ,7826718084,1027810291563,-
Адмиралтейский ,Государственное бюджетное дошкольное образовательное учреждение детский сад № 20 Адмиралтейского района Санкт-Петербурга,ГБДОУ детский сад № 20 Адмиралтейского района СПб,"Санкт-Петербург, Курляндская ул., д. 26, литера А",и.о. заведующего Ефимова Татьяна Александровна,+7(812)3159376,-,+7(812)3159376,dou20@adm-edu.spb.ru,Екатерингофский ,7826718398,1027810290518,-
