number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
1,Автобус,Остановка,"1 ЛИНИЯ, УГ. БОЛЬШОГО ПР. В.О. [7]<","1 ЛИНИЯ, УГ. БОЛЬШОГО ПР. В.О.","1-я и Кадетская линии, Большой ВО Проспект",7,"59.940931,30.291578"
2,Автобус,Остановка,1 ОЗЕРО,1 ОЗЕРО,Александровское ш.,494,"60.170616,30.013345"
3,Автобус,Остановка,1 ОЗЕРО,1 ОЗЕРО,Александровское ш.,494,"60.170715,30.012932"
4,Автобус,Остановка,10 И 11 ЛИНИИ ПО НАБ. Л. ШМИДТА [1]<,10 И 11 ЛИНИИ ПО НАБ. Л. ШМИДТА,"Лейтенанта Шмидта наб., 10-11-я линии",1,"59.934947,30.280089"
5,Автобус,Остановка,10 КМ,10 КМ,Гостилицкое ш.,"463,463А,489,682,683,683А,684,686,687,","59.833013,29.740341"
6,Автобус,Остановка,10 КМ,10 КМ,Гостилицкое ш.,"463,463А,489,682,683,683А,684,686,687,","59.833138,29.741076"
7,Автобус,Остановка,"10 КМ [145, 165, 482, 482а, 482в, 484, 484б]",10 КМ,Таллинское ш.,"145,145А,147,165,442,458,458Б,481,482,482В,484,","59.773368,30.125112"
8,Автобус,Остановка,"10 КМ [145, 165, 482, 482а, 482в, 484, 484б]<",10 КМ,Таллинское ш.,"145,145А,147,165,442,458,458Б,481,482,482В,484,","59.774014,30.126242"
9,Автобус,Остановка,"10 КМ., ПО ТРЕБОВАНИЮ","10 КМ., ПО ТРЕБОВАНИЮ",A-125,"483,483А","60.248758,29.400056"
10,Автобус,Остановка,"10 КМ., ПО ТРЕБОВАНИЮ","10 КМ., ПО ТРЕБОВАНИЮ",A-125,"483,483А","60.248466,29.399831"
11,Автобус,Остановка,10-Я КРАСНОАРМЕЙСКАЯ УЛ.,10-Я КРАСНОАРМЕЙСКАЯ УЛ.,"Лермонтовский пр., 10-я Красноармейская ул.","10,43,","59.912532,30.297362"
12,Автобус,Остановка,10-Я КРАСНОАРМЕЙСКАЯ УЛ.,10-Я КРАСНОАРМЕЙСКАЯ УЛ.,"Лермонтовский пр., 10-я Красноармейская ул.","10,43,","59.913072,30.297680"
13,Троллейбус,Остановка,10-я Красноармейская улица ,10-Я КРАСНОАРМЕЙСКАЯ УЛИЦА,"Лермонтовский, Красноармейская 11-я","3,8,","59.912008,30.297431"
14,Троллейбус,Остановка,10-я Красноармейская улица ,10-Я КРАСНОАРМЕЙСКАЯ УЛИЦА,"Лермонтовский, Красноармейская 10-я","3,8,","59.913225,30.297700"
15,Автобус,Остановка,10-я СОВЕТСКАЯ УЛ.,10-Я СОВЕТСКАЯ УЛ.,"Новгородская ул., 10-я Советская ул.","15,46,55,","59.934421,30.384330"
16,Автобус,Остановка,11 КМ,11 КМ,Красносельское шоссе,"273,301,","59.722167,30.265562"
17,Автобус,Остановка,11 КМ,11 КМ,Красносельское шоссе,"273,301,","59.721248,30.268051"
18,Автобус,Остановка,12 КМ,12 КМ,,"433,436,567,","60.185572,30.315796"
19,Автобус,Остановка,12 КМ<,12 КМ,,"433,436,567,","60.185520,30.315211"
20,Автобус,Остановка,12-13 ЛИНИИ  [6],12-13 ЛИНИИ ,"Средний пр., 12-13-я линии","3М,3МА,6,","59.941117,30.271756"
21,Автобус,Остановка,12-13 ЛИНИИ В.О. [],12-13 ЛИНИИ В.О.,"Малый проспект В.О., 12-13-я линии","47,100,","59.944835,30.267044"
22,Автобус,Остановка,12-13 ЛИНИИ В.О. []<,12-13 ЛИНИИ В.О.,"Малый проспект В.О., 12-13-я линии","47,100,","59.944733,30.266004"
23,Трамвай,Остановка,12-13-я линии T ,12-13-Я ЛИНИИ,"Средний, 12-13-я линии","6,40,","59.940800,30.270700"
24,Трамвай,Остановка,12-13-я линии T ,12-13-Я ЛИНИИ,"Средний, 12-13-я линии","6,40,","59.941022,30.271183"
25,Троллейбус,Остановка,12-13-я линии В.О. ,12-13-Я ЛИНИИ В.О.,"Малый пр. В.О., 12-13-я линии",9,"59.944664,30.265856"
26,Троллейбус,Остановка,12-13-я линии В.О. ,12-13-Я ЛИНИИ В.О.,"Малый пр. В.О., 12-13-я линии",9,"59.944939,30.267475"
27,Автобус,Остановка,13 КМ,13 КМ,Гостилицкое ш.,"463,463А,489,682,683,683А,684,686,687,","59.813725,29.712502"
28,Автобус,Остановка,13 КМ,13 КМ,Гостилицкое ш.,"463,463А,489,682,683,683А,684,686,687,","59.813409,29.711901"
29,Автобус,Остановка,14 И 15 ЛИНИИ ПО НАБ. Л. ШМИДТА [1]<,14 И 15 ЛИНИИ ПО НАБ. Л. ШМИДТА,"Лейтенанта Шмидта наб., 14-15-я линии",1,"59.933278,30.275750"
30,Автобус,Остановка,14 КМ,14 КМ,"Первомайская улица, Лагерное шоссе",331,"59.761863,30.628161"
31,Автобус,Остановка,14 КМ,14 КМ,"Первомайская улица, Лагерное шоссе",331,"59.761771,30.627812"
32,Автобус,Остановка,14-15 ЛИНИИ В.О.,14-15 ЛИНИИ В.О.,"Средний пр., 15-я линия","3М,3МА,6,42,","59.940179,30.268002"
33,Автобус,Остановка,15 КМ,15 КМ,,"433,436,567,","60.211780,30.303640"
34,Автобус,Остановка,"15 КМ, ПО ТРЕБОВАНИЮ",15 КМ,Лагерное шоссе,"328,335,335А,438,438З,","59.766239,30.640912"
