Number;Year_Of_Build;Level;Number_Of_Rooms;Distance_To_The_Nearest_MRT-station;Class;Type_Of_Market;Common_Square;Square_Of_Kitchen;Price
171;1960-1980;last;three and more;60-90 minutes;economy;secondary;54;7;67593
10812;2000-2010;middle;one;5-15 minutes;economy;secondary;34,7;10,7;149827,1
10818;1960-1980;middle;one;15-30 minutes;economy;secondary;34;6,1;116176,5
10819;2010-2020;middle;three and more;30-60 minutes;economy;secondary;95;24,7;126315,8
10822;1960-1980;middle;two;15-30 minutes;economy;secondary;44,5;6;100000
10831;2010-2020;middle;two;15-30 minutes;economy;secondary;57,6;13,5;156250
10833;2010-2020;middle;one;15-30 minutes;economy;secondary;33;9;153030,3
10834;2010-2020;middle;one;30-60 minutes;economy;primary;47,8;15,5;146443,5
10837;2010-2020;middle;one;15-30 minutes;comfort;primary;35;10;157142,9
10840;2000-2010;first;three and more;5-15 minutes;economy;secondary;101,4;10,3;123274,2
10853;1960-1980;middle;one;5-15 minutes;economy;secondary;40;7;121250
10854;1960-1980;middle;three and more;15-30 minutes;economy;secondary;60;6,2;99983,3
10857;1960-1980;middle;two;less than 5 minutes;economy;secondary;52;10;128846,2
10860;2010-2020;middle;two;15-30 minutes;economy;secondary;53,6;9,9;121268,7
10864;2010-2020;middle;two;15-30 minutes;economy;primary;60;15;105000
10865;1960-1980;middle;two;5-15 minutes;economy;secondary;45;6;92666,7
10869;2010-2020;middle;one;15-30 minutes;economy;secondary;87;33,3;200034,5
10878;2000-2010;middle;one;5-15 minutes;economy;secondary;39;10,6;141025,6
10880;2010-2020;middle;one;30-60 minutes;economy;secondary;33,6;10,7;130357,1
10886;2000-2010;middle;three and more;15-30 minutes;economy;secondary;79;26;150632,9
10892;1980-2000;middle;one;15-30 minutes;economy;secondary;36;7,6;120833,3
10896;2010-2020;middle;one;15-30 minutes;economy;secondary;32;15,6;187187,5
10904;1960-1980;middle;two;15-30 minutes;economy;secondary;48,1;6,1;124740,1
10905;2010-2020;middle;three and more;less than 5 minutes;economy;secondary;95;11,4;95789,5
10910;2010-2020;middle;one;15-30 minutes;economy;secondary;33;8,5;154545,5
10911;2010-2020;middle;two;5-15 minutes;economy;secondary;77;13;179220,8
10912;2010-2020;middle;one;15-30 minutes;economy;secondary;31;8,4;148387,1
10917;1960-1980;middle;three and more;less than 5 minutes;economy;secondary;73;7,2;108904,1
10918;1960-1980;first;one;15-30 minutes;economy;secondary;31,3;5,5;137380,2
10919;1980-2000;middle;one;15-30 minutes;economy;secondary;38,1;10,1;119422,6
10920;2010-2020;middle;two;15-30 minutes;economy;secondary;56,8;11,4;105633,8
10929;2010-2020;middle;one;15-30 minutes;economy;secondary;30;8;156666,7
10930;2010-2020;middle;two;15-30 minutes;economy;primary;53,8;11,9;88011,2
10934;1980-2000;first;three and more;less than 5 minutes;economy;secondary;57,7;6,3;110918,5
10936;2010-2020;middle;one;30-60 minutes;economy;secondary;40;9;112500
10939;2010-2020;middle;two;15-30 minutes;economy;secondary;63;9,2;125396,8
10940;2010-2020;middle;one;15-30 minutes;economy;secondary;38;11;101315,8
10943;2000-2010;middle;three and more;15-30 minutes;economy;secondary;104,1;14,5;136887,6
10945;2010-2020;last;two;15-30 minutes;economy;secondary;65;11;127692,3
10949;2010-2020;middle;one;less than 5 minutes;economy;secondary;43;12;151162,8
10952;2010-2020;middle;two;15-30 minutes;economy;secondary;53,7;14,7;95903,2
10954;2010-2020;middle;two;5-15 minutes;economy;secondary;62;12;185483,9
10956;2000-2010;middle;three and more;5-15 minutes;economy;secondary;84,2;14;195962
10958;1980-2000;middle;two;15-30 minutes;economy;secondary;55,1;10,2;103448,3
10959;1960-1980;first;one;less than 5 minutes;economy;secondary;45;9;138888,9
10961;1980-2000;middle;three and more;30-60 minutes;economy;secondary;71;9;105633,8
10962;2010-2020;first;one;15-30 minutes;economy;secondary;38,6;12;107513
10965;1960-1980;first;two;15-30 minutes;economy;secondary;44,1;7,1;98639,5
10966;1960-1980;first;two;15-30 minutes;economy;secondary;42,1;10,5;117791
10970;1960-1980;last;one;5-15 minutes;economy;secondary;33,5;6,4;135283,6
10976;2000-2010;last;two;5-15 minutes;economy;secondary;67;10;126716,4
10981;1980-2000;middle;one;15-30 minutes;economy;secondary;45;18;155533,3
10987;1980-2000;middle;one;15-30 minutes;economy;secondary;38,3;9,9;125326,4
10990;2010-2020;middle;three and more;5-15 minutes;comfort;secondary;108;15;138796,3
10992;2010-2020;middle;one;15-30 minutes;economy;primary;35,6;8,3;140730,3
10994;1960-1980;middle;two;15-30 minutes;economy;secondary;46;7;131521,7
10995;2010-2020;middle;one;15-30 minutes;economy;primary;33,4;8,4;135479
10997;1960-1980;middle;two;5-15 minutes;economy;secondary;41,7;5,5;170263,8
10998;2010-2020;middle;three and more;less than 5 minutes;economy;secondary;100,1;13;194105,9
11001;1960-1980;first;one;15-30 minutes;economy;secondary;33;6,5;100000
11004;2010-2020;middle;one;15-30 minutes;economy;secondary;41,8;10,8;118421,1
11008;2000-2010;middle;three and more;less than 5 minutes;economy;secondary;105;12;192381
11013;2010-2020;middle;two;5-15 minutes;business;primary;67,8;17,9;156268,4
11026;2010-2020;middle;three and more;15-30 minutes;economy;secondary;82,5;14,4;93939,4
11028;2010-2020;middle;three and more;5-15 minutes;economy;secondary;93;12,2;85914
11031;2010-2020;middle;two;15-30 minutes;economy;secondary;61;15;119672,1
11044;2000-2010;middle;three and more;5-15 minutes;economy;secondary;92,4;20,4;194264,1
11047;1960-1980;middle;two;30-60 minutes;economy;secondary;46,6;6,3;95493,6
11050;2010-2020;middle;one;15-30 minutes;economy;primary;40,1;10,4;99750,6
11058;2010-2020;middle;three and more;less than 5 minutes;economy;secondary;93;12;113978,5
11059;1960-1980;middle;three and more;less than 5 minutes;economy;secondary;71,2;8,7;115870,8
11064;1980-2000;middle;two;15-30 minutes;economy;secondary;55;10;107272,7
11065;1980-2000;middle;three and more;15-30 minutes;economy;secondary;57,3;6,2;92495,6
11067;2010-2020;middle;three and more;less than 5 minutes;economy;primary;118;13;201810
11070;2010-2020;middle;three and more;30-60 minutes;economy;secondary;69,6;12,1;100170
11072;2010-2020;middle;one;less than 5 minutes;economy;secondary;39;11;210256,4
11086;2010-2020;middle;two;15-30 minutes;economy;secondary;58;11;119827,6
11090;2010-2020;middle;two;5-15 minutes;economy;secondary;54,1;10,9;109981,5
11094;2010-2020;middle;one;5-15 minutes;economy;secondary;33;10;160606,1
11095;2000-2010;middle;one;15-30 minutes;economy;secondary;34,2;10;140350,9
11096;1960-1980;first;one;15-30 minutes;economy;secondary;30;6;76666,7
11102;1960-1980;middle;three and more;5-15 minutes;economy;secondary;73,9;6,2;82544
11104;1960-1980;middle;one;5-15 minutes;economy;secondary;32;6;132812,5
11107;1960-1980;first;three and more;5-15 minutes;economy;secondary;63,1;6,3;85578,4
11110;1960-1980;last;one;15-30 minutes;economy;secondary;35,2;6,2;113636,4
11130;2010-2020;middle;one;15-30 minutes;economy;secondary;40,4;15;102722,8
11133;2010-2020;middle;two;15-30 minutes;economy;secondary;62,4;18;118589,7
11137;2010-2020;middle;one;less than 5 minutes;economy;secondary;51;15;160196,1
11139;2010-2020;middle;one;30-60 minutes;economy;secondary;39,5;13,3;129367,1
11143;1960-1980;middle;two;15-30 minutes;economy;secondary;44,6;6,7;116591,9
11144;1960-1980;middle;three and more;5-15 minutes;economy;secondary;93,2;9,3;114806,9
11151;1980-2000;middle;three and more;5-15 minutes;economy;secondary;80;10;100000
11157;1960-1980;middle;three and more;5-15 minutes;economy;secondary;73,4;6,4;79700,3
11158;1980-2000;middle;two;15-30 minutes;economy;secondary;42;9;117857,1
11171;2010-2020;middle;three and more;15-30 minutes;economy;secondary;82;16;95122
11172;1980-2000;first;three and more;15-30 minutes;economy;secondary;77;8;103636,4
11173;2010-2020;middle;three and more;15-30 minutes;economy;secondary;104,5;17,3;182583,7
11176;1960-1980;middle;three and more;15-30 minutes;economy;secondary;67;7;100000
11184;2000-2010;middle;one;15-30 minutes;economy;secondary;34,8;10,7;135057,5
11191;1980-2000;middle;two;15-30 minutes;economy;secondary;56;8,4;87410,7
11197;2010-2020;first;one;15-30 minutes;economy;primary;37,7;12,2;118852,7
